NAME	UNIPROT	ACTIVES	INACTIVES	RATIO		
Krueppel-like factor 5	A2TJX0	37	287634	7774		
5-hydroxytryptamine receptor 3E	A5X5Y0	148	15	0		
Serine/threonine-protein kinase Sgk1	O00141	15	327090	21806		
"Thymidine kinase 2, mitochondrial"	O00142	14	14	1		
Metabotropic glutamate receptor 8	O00222	10	6	1		
Bone morphogenetic protein receptor type-1B	O00238	16	335333	20958		
Menin	O00255	15	419244	27950		
Cell division cycle 7-related protein kinase	O00311	495	286	1		
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	O00329	752	189533	252		
"cGMP-dependent 3',5'-cyclic phosphodiesterase"	O00408	118	8	0		
Eukaryotic elongation factor 2 kinase	O00418	23	64805	2818		
Serine/threonine-protein kinase PLK4	O00444	236	30	0		
Nuclear receptor subfamily 5 group A member 2	O00482	29	356828	12304		
Fatty-acid amide hydrolase 1	O00519	521	5	0		
Cocaine esterase	O00748	81	0	0		
Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	O00750	13	64454	4958		
Acetyl-CoA carboxylase 2	O00763	278	1	0		
Acyl-CoA desaturase	O00767	253	1	0		
Citron Rho-interacting kinase	O14578	10	37	4		
Disintegrin and metalloproteinase domain-containing protein 10	O14672	109	362657	3327		
Prostaglandin E synthase	O14684	246	255475	1039		
Apoptotic protease-activating factor 1	O14727	15	376241	25083		
Telomerase reverse transcriptase	O14746	116	403376	3477		
Serine/threonine-protein kinase Chk1	O14757	1290	503746	391		
Free fatty acid receptor 1	O14842	332	223867	674		
Inhibitor of nuclear factor kappa-B kinase subunit beta	O14920	565	400151	708		
Phospholipase D2	O14939	72	421704	5857		
Aurora kinase A	O14965	1266	432323	341		
Cyclin-G-associated kinase	O14976	19	341878	17994		
Serine/threonine-protein kinase DCLK1	O15075	17	0	0		
Inhibitor of nuclear factor kappa-B kinase subunit alpha	O15111	149	422232	2834		
1-acyl-sn-glycerol-3-phosphate acyltransferase beta	O15120	77	0	0		
Ephrin type-B receptor 6	O15197	11	52	5		
Mitogen-activated protein kinase 13	O15264	213	48	0		
Histone deacetylase 3	O15379	438	420291	960		
Baculoviral IAP repeat-containing protein 5	O15392	20	339629	16981		
Group 10 secretory phospholipase A2	O15496	21	0	0		
3-phosphoinositide-dependent protein kinase 1	O15530	251	402256	1603		
Free fatty acid receptor 2	O15552	10	216337	21634		
Intermediate conductance calcium-activated potassium channel protein 4	O15554	19	9	0		
Cytochrome P450 26A1	O43174	93	7	0		
Motilin receptor	O43193	200	2	0		
Death-associated protein kinase 3	O43293	260	64	0		
Mitogen-activated protein kinase kinase kinase 7	O43318	57	414062	7264		
Receptor-interacting serine/threonine-protein kinase 2	O43353	15	383961	25597		
"Maltase-glucoamylase, intestinal"	O43451	28	215192	7685		
Voltage-dependent T-type calcium channel subunit alpha-1G	O43497	85	48	1		
Potassium voltage-gated channel subfamily KQT member 3	O43525	63	14	0		
Potassium voltage-gated channel subfamily KQT member 2	O43526	86	44	1		
Carbonic anhydrase 12	O43570	760	11	0		
Galanin receptor type 2	O43603	12	139082	11590		
Orexin receptor type 1	O43613	294	321241	1093		
Orexin receptor type 2	O43614	305	202	1		
Dual specificity tyrosine-phosphorylation-regulated kinase 3	O43781	111	0	0		
Aldo-keto reductase family 1 member B10	O60218	43	0	0		
Transmembrane protease serine 11D	O60235	42	0	0		
NUAK family SNF1-like kinase 1	O60285	12	268898	22408		
Lysine-specific histone demethylase 1A	O60341	10	6733	673		
Cyclin-T1	O60563	80	383032	4788		
Toll-like receptor 2	O60603	16	360667	22542		
Tyrosine-protein kinase JAK2	O60674	931	406627	437		
ATP-binding cassette sub-family C member 9	O60706	16	58	4		
Protein-S-isoprenylcysteine O-methyltransferase	O60725	69	189582	2748		
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	O60741	17	0	0		
Galanin receptor type 3	O60755	77	351294	4562		
Hematopoietic prostaglandin D synthase	O60760	15	1	0		
Bromodomain-containing protein 4	O60885	63	15	0		
Receptor activity-modifying protein 1	O60894	20	4	0		
Cathepsin L2	O60911	54	14	0		
Rho-associated protein kinase 2	O75116	759	59556	78		
A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173	117	218019	1863		
Nuclear receptor corepressor 1	O75376	20	428422	21421		
Nuclear receptor subfamily 1 group I member 2	O75469	43	358598	8339		
Ribosomal protein S6 kinase alpha-5	O75582	150	247710	1651		
Ribosomal protein S6 kinase alpha-4	O75676	27	175891	6514		
Serine/threonine-protein kinase 16	O75716	13	17	1		
Transient receptor potential cation channel subfamily A member 1	O75762	88	27	0		
Gamma-aminobutyric acid type B receptor subunit 2	O75899	13	64751	4981		
Diacylglycerol O-acyltransferase 1	O75907	371	8	0		
Sterol O-acyltransferase 2	O75908	92	1	0		
Serine/threonine-protein kinase PAK 3	O75914	12	74	6		
"cGMP-specific 3',5'-cyclic phosphodiesterase"	O76074	937	322389	344		
"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"	O76083	51	14	0		
Serine/threonine-protein kinase 10	O94804	15	9	1		
Serine/threonine-protein kinase D3	O94806	200	339794	1699		
G2/mitotic-specific cyclin-B2	O95067	237	289	1		
Sphingosine 1-phosphate receptor 2	O95136	73	228466	3130		
Voltage-dependent T-type calcium channel subunit alpha-1H	O95180	58	99576	1717		
"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B"	O95263	107	0	0		
5-hydroxytryptamine receptor 3B	O95264	149	15	0		
Tankyrase-1	O95271	68	314753	4629		
Urotensin-2	O95399	26	10	0		
Tyrosyl-DNA phosphodiesterase 2	O95551	41	372510	9086		
Neurotensin receptor type 2	O95665	46	147	3		
Steroid hormone receptor ERR2	O95718	24	370751	15448		
Geranylgeranyl pyrophosphate synthase	O95749	27	3	0		
Mitogen-activated protein kinase kinase kinase kinase 4	O95819	350	326632	933		
"Malonyl-CoA decarboxylase, mitochondrial"	O95822	203	3	0		
Sphingosine 1-phosphate receptor 4	O95977	241	230338	956		
Serine/threonine-protein kinase PAK 4	O96013	126	304676	2418		
Serine/threonine-protein kinase Chk2	O96017	311	423040	1360		
G1/S-specific cyclin-E2	O96020	452	313	1		
L-lactate dehydrogenase A chain	P00338	22	65	3		
Dihydrofolate reductase	P00374	394	3745	10		
Coagulation factor XIII A chain	P00488	57	369483	6482		
Purine nucleoside phosphorylase	P00491	154	365058	2371		
Hypoxanthine-guanine phosphoribosyltransferase	P00492	22	5	0		
Tyrosine-protein kinase ABL1	P00519	813	528730	650		
Epidermal growth factor receptor	P00533	2240	395109	176		
Prothrombin	P00734	2390	372850	156		
Complement C1r subcomponent	P00736	12	61952	5163		
Coagulation factor IX	P00740	131	214998	1641		
Coagulation factor X	P00742	3423	109	0		
Plasminogen	P00747	202	370682	1835		
Urokinase-type plasminogen activator	P00749	412	304232	738		
Tissue-type plasminogen activator	P00750	72	376996	5236		
